"hospital_name","package_id","package_name","recommended_age","recommended_gender","medical_history","tests_included","date","time_slot","timezone"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-05","16:30","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-11-10","11:00","IST"
"City General Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-10-01","09:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-01","09:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-08-14","14:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-10","16:00","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-23","10:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-10-23","10:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-29","11:30","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-11-23","09:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-08-15","14:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-27","15:00","IST"
"City General Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-06","09:00","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-10-18","11:00","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-02","14:30","IST"
"Metro Health Center","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-10","15:30","IST"
"City General Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-09-05","15:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-21","12:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-04","10:00","IST"
"Sunrise Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-21","16:00","IST"
